Feature,Importance
Load_Percent,0.23705312400235654
Power_Factor,0.2211678447975463
Process_Temperature_K,0.1762759268885036
Vibration_mm_s,0.11528178421392038
Current_A,0.101746522024309
Apparent_Power,0.060076028960561315
Torque_Nm,0.03658951866328297
Speed_Torque_Ratio,0.015637340024810605
Temp_Difference,0.013546853468697804
Voltage_V,0.007805218029786841
Air_Temperature_K,0.00767597585682681
Rotational_Speed_RPM,0.007033745979024971
Active_Power,9.848709143858249e-05
Tool_Wear_min,1.162999893433533e-05
Operating_Hours,0.0
Motor_Type_Encoded,0.0
Wear_Rate,0.0
